"sep=;";;;
Body Region;Procedure (Order As);Reason for Exam;CPT Code
CHEST;CT Angio Chest PE Study;Chest Pain, Dyspnea, Hypoxia, Elevated D-Dimer, Known DVT with chest symptoms, Pulmonary Hypertension, Pulmonary Embolism (PE);71275
CHEST;CT Angio Chest w Con;Evaluation or follow up Aortic Aneurysm/Dissection, Coarctation, Abnormal Ascending Aorta;71275
CHEST;CT Angio Chest wo+w Contrast;Evaluation of known Aortic Pathology, Postsurgical Endovascular Evaluation, Subclavian Steal Syndrome, Subclavian Stenosis, Unequal BP in Arms, Prior Thoracic Aortic Stent Graft repair;71275
CHEST;MR Angio Chest wo+w Con;Thoracic Outlet Syndrome, Paget-Schroetter Disease, Subclavian Stenosis;71555
CHEST;MR Brachial Plexus wo+w Con;Brachial Plexus Injury, Nerve Avulsion, Neural Deficit, Preoperative Evaluation of known Intrinsic or Extrinsic Lesions within the Neck, Clavicular region, or Axilla, Tumor, Mass, Cancer, Mets;71552
CHEST;MR Chest wo Con;Sternal Mass, Brachial Plexopathy, Trauma, Injury, Tumor Invasion, Thymic Lesion, Thymoma, Mediastinal Mass;71550
CHEST;XR Chest 1 View AP or PA;Single view;71045
CHEST;XR Chest 2 Views w Apical Lordotic;Two view plus Apical Lordotic;71047
CHEST;XR Chest 2 Views w Obliques;Two view plus Oblique Projections;71048
CHEST;XR Chest 2 Views;Two view, PA and Lateral;71046
CLAVICLE;XR Clavicle Complete Bil<br>XR Clavicle Complete Lt<br>XR Clavicle Complete Rt;Complete;73000
CORONARY, ARTERIES, HEART;CT Cardiac Calcium Scoring wo Con;Evaluate for presence of calcium in Coronary Artery;75571
EYES, ORBITS;XR Eye Foreign Body Bil<br>XR Eye Foreign Body Lt<br>XR Eye Foreign Body Rt;For detection of Foreign Body;70030
FACE, HEAD;CT Maxillofacial w Con;Infection, Swelling, Mass in Face, Tumor, Abscess;70487
FACE, HEAD;CT Maxillofacial wo Con;Trauma, Facial Fracture, Nasal Fracture, Pain, Bony Abnormalities;70486
FACIAL BONES;XR Facial Bones 1-2 Views;Less than 3 views;70140
FACIAL BONES;XR Facial Bones 3+ Views;Complete, 3 views or more;70150
HEAD, BRAIN, ARTERIAL, VASCULAR;MR Angio Head Venous wo Con (MRV);Dural Venous Sinus Thrombosis or Stenosis, Cerebrovascular Disease, Idiopathic Intracranial Hypertension, Positional Headache, Headache/Migraine with family history of Aneurysm, Papilledema, Vascular malformation;70544
HEAD, BRAIN, NECK, ORBIT;MR Orb/Face/Neck wo Con;Grave's Disease, Trauma;70540
HEAD, BRAIN, NECK, ORBIT;MR Orb/Face/Neck wo+w Con;Infection, Pain, Tumor, Mass, Cancer, Mets, Vocal Cord Paralysis, Parotid Gland, Exophthalmos, Proptosis, Pseudotumor, Vascular Lesions, Optic Neuritis, Graves Disease, Exophthalmos, Proptosis, bulging eye;70543
HEAD, BRAIN, ORBIT, TEMPORAL;CT Orbit/Sella/Posterior Fossa w Con;Pseudotumor Mass, Exophthalmos Pain, Abscess, Graves Disease, Cellulitis, Swelling;70481
HEAD, BRAIN, ORBIT, TEMPORAL;CT Orbit/Sella/Posterior Fossa wo Con;Hearing Loss, Cholesteatoma, Congenital Inner Ear Anomaly, Foreign Body, Bony Abnormalities, Preop Cochlear Implant, Trauma;70480
HEAD, BRAIN;CT Angio Head wo+w Con;Stroke, Suspected Aneurysm with Headache, Aneurysm Follow Up, Vascular Malformation, Vascular Injury, Congenital Abnormalities, Vasculitis or Vasculopathy, Dural Venous Sinus Thrombosis;70496
HEAD, BRAIN;MR PIT/POS FOS w+wo Con;Pituitary Adenoma, Sellar Mass, Suprasellar Mass, Amenorrhea, Galactorrhea, Visual Field Defects, Delayed Puberty, Abnormal Growth Rate, Elevated Prolactin, Hyperprolactinemia, Pituitary Lesion;70553
HEAD, FACE;MR TMJ Uni or Bil;Internal TMJ derangement, Clicking in Mandibular Joints, Facial Pain, Decreased range of motion, Jaw Locking, Avascular Necrosis;70336
HEAD, NECK;CT Angio Head+Neck w Contrast;Stroke, TIA, Carotid Stenosis, Sudden or Transient Visual Loss, Vertebrobasilar Insufficiency;70471
HEAD, TEMPORAL;MR IAC wo+w Con;Sensorineural Hearing Loss, Deafness, Acoustic Neuroma (vestibular schwannoma), Dizziness, Tinnitus, Vertigo, Bell's Palsy, Ramsay Hunt Syndrome, Hemifacial Spasm, Cranial Nerve Lesions, IAC (Internal Auditory Canal) Mass;70553
HEAD;CT Head wo Con;Trauma, Headache, CVA, Stroke, Bleed, Alzheimer's, Memory Loss, Confusion, Facial Droop, TIA, Change in Mental Status, Loss of Balance, Syncope, Tinnitus, Vertigo, Dizziness, Shunt Check, Hydrocephalus;70450
HEAD;CT Head wo+w Con;Metastatic Staging, Mass, Tumor, Infection, Abscess, Meningioma, HIV, Headache and Neurologic Sign;70470
HEAD;MR Angio Head wo Con;Cerebrovascular Disease, Idiopathic Intracranial Hypertension, Positional Headache, Headache/Migraine with family history of Aneurysm, Papilledema, Vascular malformation.;70544
HEAD;MR Angio Head wo+w Con;Post Embolization Aneurysm Follow Up;70546
HEART, CHEST, CARDIAC;CT Angio Heart/Coronary Art 3D W Con;Evaluation of the Coronary Arteries, Coronary Artery Disease, Cardiomyopathy, Abnormal ECG, Troponemia;75574
HEART, CHEST, CARDIAC;CT Heart Eval Coronary Ca wo Con;Evaluate for presence of calcium in Coronary Artery, Hyperlipidemia;75571
HEART, CHEST, CARDIAC;CT Heart Struct/Morph Congenital 3D wCon;CHD, Congenital Heart Defects;75573
HIP, PELVIS;XR Hip w Pelvis 1 View Lt<br>XR Hip w Pelvis 1 View Rt;1 view, Unilateral with Pelvis when performed;73501
HIP, PELVIS;XR Hip w Pelvis 2 Views Bilat;2 views, Bilateral with Pelvis when performed;73521
HIP, PELVIS;XR Hip w Pelvis 2-3 Views Lt<br>XR Hip w Pelvis 2-3 Views Rt;2-3 views, Unilateral with Pelvis when performed;73502
HIP, PELVIS;XR Hip w Pelvis 3-4 Views Bil;3-4 views, Bilateral with Pelvis when performed;73522
HIP, PELVIS;XR Hip w Pelvis 4+ Views Lt<br>XR Hip w Pelvis 4+ Views Rt;4 views, Unilateral with Pelvis when performed;73503
HIP, PELVIS;XR Hip w Pelvis 5+ Views Bilat;5 views, Bilateral with Pelvis when performed;73523
INFANT ABDOMEN;US Abdomen Limited;Failure to Gain Weight, Nonbilious Vomiting, Pyloric Stenosis;76705
INFANT BRAIN;US Encephalogram;Abnormal Head Circumference , Venticulomegaly / Hydrocephalus;76506
INFANT HIPS;US Infant Hips Dynamic;Clicking, Dislocation, Laxity, Breech birth;76885
INFANT SPINE;US Spinal Canal+Content;Assessing Spinal Abnormalities in Infant , Sacral Dimples , Hair Tufts, or Skin Tags;76800
INTERVENTIONAL RADIOLOGY (IR);US Inj Sclerosing Sol Multi Inj Same Vn;Sclerotherapy after Vein Consult;36471
INTERVENTIONAL RADIOLOGY (IR);XR Ablation RF Extrem Vein 1st;RFA Procedure after Vein Consult;36475
INTERVENTIONAL RADIOLOGY (IR);XR Endoven therapy adhesive 1st;Venaseal Procedure after Vein Consult;36482
INTERVENTIONAL RADIOLOGY (IR);XR Ins PICC wo Sub/Po 5+ Yrs w Imaging;PICC Placement;36573
INTERVENTIONAL RADIOLOGY (IR);XR Ins Tun CVD w Sub/Po >5;Port Placement;36561
INTERVENTIONAL RADIOLOGY (IR);XR Remove Tunneled CVAD w Port/Pump;Port Removal;36590
JOINT INJECTION;XR Guide Ndl Fluoro Plc Asp/Inj Joint;For Aspiration or Steroid Injection, Bakers Cyst Aspiration, any Joint under Fluoroscopy;77002
LOWER EXTREMITY;<u>Order specific body part</u>:<br>CT Foot w Con Lt<br>CT Foot w Con Rt<br>CT Ankle w Con Lt<br>CT Ankle w Con Rt<br>CT Tib-Fib w Con Lt<br>CT Tib-Fib w Con Rt<br>CT Knee w Con Lt<br>CT Knee w Con Rt<br>CT Femur w Con Lt<br>CT Femur w Con Rt<br>CT Hip w Con Lt<br>CT Hip w Con Rt;Infection, Tumor, Mass, Cancer, Mets;73701
LOWER EXTREMITY;<u>Order specific body part</u>:<br>CT Foot wo Con Lt<br>CT Foot wo Con Rt<br>CT Ankle wo Con Lt<br>CT Ankle wo Con Rt<br>CT Tib-Fib wo Con Lt<br>CT Tib-Fib wo Con Rt<br>CT Knee wo Con Lt<br>CT Knee wo Con Rt<br>CT Femur wo Con Lt<br>CT Femur wo Con Rt<br>CT Hip wo Contrast Lt<br>CT Hip wo Contrast Rt;Fracture, Fusion, Nonunion, Malunion, Arthritis;73700
LOWER EXTREMITY, INFANT;XR Lower Extrem Infant 2+ Views Bil<br>XR Lower Extrem Infant 2+ Views Lt<br>XR Lower Extrem Infant 2+ Views Rt;Infant, minimum 2 views;73592
LOWER EXTREMITY, JOINT;<u>Order specific body part</u>:<br>MR Hip wo Con Lt<br>MR Hip wo Con Rt<br>MR Knee wo Con Lt<br>MR Knee wo Con Rt<br>MR Ankle wo Con Lt<br>MR Ankle wo Con Rt;Arthritis, AVN (avascular necrosis), Fracture, Stress Fracture, Internal Derangement, Joint Pain (specify joint), Labral Tear, Muscle Tear, Tendon Tear, Ligament Tear, Cartilage Tear, Osteochondritis Dissecans (OCD);73721
LOWER EXTREMITY, JOINT;<u>Order specific body part</u>:<br>MR Hip wo+w Con Lt<br>MR Hip wo+w Con Rt<br>MR Knee wo+w Con Lt<br>MR Knee wo+w Con Rt<br>MR Ankle wo+w Con Lt<br>MR Ankle wo+w Con Rt;Abscess, Ulcer, Cellulitis, Fasciitis, Myositis, Inflammatory Arthritis, Osteomyelitis, Septic Arthritis, Tumor, Mass, Cancer, Mets;73723
LOWER EXTREMITY;<u>Order specific body part</u>:<br>MR Femur/Thigh wo Con Lt<br>MR Femur/Thigh wo Con Rt<br>MR Tib/Fib wo con Lt<br>MR Tib/Fib wo con Rt<br>MR Foot wo Con Lt<br>MR Foot wo Con Rt;Fracture, Stress Fracture, Muscle Tear, Tendon Tear;73718
