"sep=;";;;;;
Protocol;Anatomy;Procedure (Order As);Clinical Indications;Durations;Prep
<a href='https://drive.google.com/open?id=1DamZojV6r58vsrx6jp5eXt_4zA7ytLLX' target='_blank'>DHAI US 402 VASC VEN INSUFF</a>;LOWER EXTREMITY;US Vasc Dplx Ven Low Ext Bil Insuff<br>US Vasc Dplx Ven Low Ext Lt Insuff<br>US Vasc Dplx Ven Low Ext Rt Insuff;Venous Insufficiency, Varicose Veins, Chronic Leg Pain, Leg Swelling with no suspicion of DVT indicated on order;90 min UNI/BIL;NO PREP
<a href='https://drive.google.com/file/d/1TlqvLRxIDRLu65ZwiYi0C-n6RVlfM2Mc/view' target='_blank'>DHAI US 403 VASC CAROTID</a>;BILATERAL CAROTID ARTERIES;US Vasc Dplx Extracran Art Bilat Comp;Carotid Stenosis, Dizziness, TIA, Stroke or CVA, Amaurosis Fugax, Carotid Bruit, Atherosclerosis, Syncope;45 min;NO PREP
<a href='https://drive.google.com/file/d/1ysrnWOBEeDhWKTuhmCAHa0ffJBirOBoF/view' target='_blank'>DHAI US 404 VASC RAS</a>;ABDOMINAL DOPPLER / DUPLEX - RENAL ARTERIES;US Vasc Dplx Ab/Pel/Ret Comp;Renovascular Hypertension, Renal Artery Stenosis, Hypertension;60 min;FASTED
<a href='https://drive.google.com/file/d/1trdDWU4lcSs_rGBIW_dQPIaTAF0-unmU/view' target='_blank'>DHAI US 405 VASC TIPS</a>;ABDOMINAL DOPPLER / DUPLEX - TIPS;US Vasc Dplx Ab/Pel/Ret Comp;Transjugular Intrahepatic Portosystemic Shunt (TIPS);60 min;FASTED
<a href='https://drive.google.com/file/d/1LtUR0FSIfDwbiyLC74bYYs-ZYZmQoSpD/view' target='_blank'>DHAI US 406 VASC TRANSPLANT/DUPLEX LIVER</a>;ABDOMINAL DOPPLER / DUPLEX - LIVER;US Vasc Dplx Ab/Pel/Ret Comp;Liver Transplant, Liver Disease, vascular evaluation;60 min;FASTED
<a href='https://drive.google.com/file/d/1RmzjUJWfXBIvcGnRbtRIfKsUh9EFPZZi/view' target='_blank'>DHAI US 407 VASC TRANSPLANT KIDNEY</a>;ABDOMINAL DOPPLER / DUPLEX - TRANSPLANT KIDNEY;US Vasc Dplx Ab/Pel/Ret Comp;Kidney Transplant vascular evaluation;60 min;NO PREP
<a href='https://drive.google.com/file/d/1UJeCuJQCfYoOHuvf0yRhPCsjvUJGseoW/view' target='_blank'>DHAI US 408 VASC PSEUDOANEURYSM</a>;LOWER EXTREMITY COMMON FEMORAL ARTERY AND VEIN;Vasc Pseudoaneurysm Low Ext Lt<br>Vasc Pseudoaneurysm Low Ext Rt;Palp/pain after arterial puncture or trauma;45 min;NO PREP
<a href='https://drive.google.com/file/d/1VLfvkMynJt_6GIxQLIgCBnpbCMotSast/view' target='_blank'>DHAI US 409 VASC INJECTION</a>;;US Inj Sclerosing Sol Multi Inj Same Vn;;;
<a href='https://drive.google.com/file/d/198gh9uuuoTayvMHFcp3idocFZj8TG_BM/view' target='_blank'>DHAI US 500 SCROTUM</a>;SCROTUM, TESTICLES;US Scrotum;Pain, masses, asymmetry, swelling, suspected scrotal hernia, varicoceles, male infertility, localizing nonpalpable or inguinal testes, detecting occult primary tumors (in patients with metastatic germ cell tumor or unexplained retroperitoneal adenopathy), follow-up for prior testicular neoplasms, leukemia/lymphoma, disorders of sexual development;30 min;NO PREP
<a href='https://drive.google.com/file/d/1UKO89Sdld0Z9LNV1IW5tgAD_hsBMDsLV/view' target='_blank'>DHAI US 501 THYROID</a>;NECK / THYROID;US Soft Tissue Head+Neck;Thyroid and Parathyroid conditions: Nodule, Cyst, Mass, Enlargement/Thyromegaly, Hyperparathyroidism, Disorder, Abnormal Function Tests, Thyroiditis, Hyper/Hypothyroidism, Neck Swelling;30 min;NO PREP
<a href='https://drive.google.com/file/d/16e_JQZGG1GksRUOJpTxwdaue-H5nXYsQ/view' target='_blank'>DHAI US 502 THYROIDECTOMY</a>;THYROID BED / FOSSA, NECK;US Soft Tissue Head+Neck;History of thyroidectomy;30 min;NO PREP
<a href='https://drive.google.com/file/d/1tfcH5GErdK5UApIVwPs9g4NQeTBgJRjH/view' target='_blank'>DHAI US 520 SOFT TISSUE HEAD/NECK</a>;NECK, HEAD;US Soft Tissue Head+Neck;Head/Neck lump, focal lymphadenopathy, or head/neck soft tissue mass.;30 min;NO PREP
<a href='https://drive.google.com/file/d/1OZvCGweMHTs3YDM_9LIsI22Xmb7abuTZ/view' target='_blank'>DHAI US 521 SOFT TISSUE BACK/CHEST</a>;UPPER BACK, LOWER BACK, CHEST;US Upper Back Soft Tissue<br>US Lower Back Soft Tissue;Chest, upper OR lower back soft tissue mass/lump.;30 min;NO PREP
<a href='https://drive.google.com/file/d/1U4jBkMgyLzY-_9bf5RCqKZpZ5F8auert/view' target='_blank'>DHAI US 522 SOFT TISSUE EXT</a>;UPPER EXTREMITY, LOWER EXTREMITY;US Extrem Non Vasc Ltd Bil<br>US Extrem Non Vasc Ltd Lt<br>US Extrem Non Vasc Ltd Rt;Palpable Lump (Mass) on Upper or Lower Extremity;30 min;NO PREP
